                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5997,                 3.1274,                 1.9459,                0.29325,                0.44719,                0.29249,                0.15995,                 1.7695,                 2.5509,                 2.4427,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.2734,                 2.0424,                   1.57,                0.68333,                0.59987,                0.67346,                0.41843,                 1.8244,                 1.7941,                 2.5035,              0.0065284,              0.0065284,              0.0065284
                      3,                 1.2415,                 1.6131,                 1.5082,                0.68201,                0.55124,                0.62214,                0.37171,                 2.0093,                 1.8826,                  2.764,              0.0095978,              0.0095978,              0.0095978
                      4,                 1.2091,                 1.4108,                 1.4934,                0.81819,                0.72347,                0.81781,                0.57361,                  1.703,                 1.2366,                 2.1153,               0.009406,               0.009406,               0.009406
                      5,                   1.16,                  1.279,                 1.4616,                 0.8681,                 0.7982,                0.87493,                0.63959,                 1.5655,                 1.1039,                 2.0577,               0.009406,               0.009406,               0.009406
                      6,                 1.1313,                 1.2071,                 1.4423,                0.85203,                0.80667,                0.87981,                0.66413,                 1.5286,                 1.0117,                 2.0022,               0.009208,               0.009208,               0.009208
                      7,                 1.1079,                 1.1539,                 1.4246,                0.84504,                0.77115,                0.85859,                0.63679,                 1.5608,                  1.169,                 2.0141,                0.00901,                0.00901,                0.00901
                      8,                  1.099,                  1.127,                 1.4167,                0.89575,                0.83125,                0.91179,                0.70104,                 1.4518,                0.82368,                 1.9454,               0.008812,               0.008812,               0.008812
                      9,                 1.0822,                 1.0917,                 1.4052,                 0.8922,                0.84355,                 0.9194,                0.70584,                 1.4586,                0.72952,                 1.9047,               0.008614,               0.008614,               0.008614
                     10,                 1.0739,                 1.0767,                 1.3979,                0.89812,                0.85725,                0.92311,                0.72018,                 1.4069,                0.82532,                 1.9071,               0.008416,               0.008416,               0.008416
                     11,                 1.0678,                 1.0551,                 1.3945,                0.89629,                 0.8567,                 0.9148,                0.71405,                  1.428,                0.96708,                 1.8901,               0.008218,               0.008218,               0.008218
                     12,                 1.0566,                 1.0401,                 1.3856,                 0.9085,                0.86173,                0.92675,                0.72103,                 1.4256,                0.68884,                 1.9343,                0.00802,                0.00802,                0.00802
                     13,                   1.05,                  1.025,                 1.3762,                0.90749,                0.87932,                0.93514,                0.73615,                  1.401,                0.67447,                 1.9242,               0.007822,               0.007822,               0.007822
                     14,                  1.051,                 1.0228,                  1.381,                0.92171,                0.88082,                0.94155,                0.74121,                 1.4038,                0.64288,                 1.8617,               0.007624,               0.007624,               0.007624
                     15,                  1.043,                 1.0061,                 1.3697,                0.91645,                0.87634,                 0.9394,                0.74034,                 1.3971,                0.63403,                 1.9044,               0.007426,               0.007426,               0.007426
                     16,                 1.0387,                0.99846,                 1.3669,                0.92204,                0.88004,                0.94173,                0.74127,                 1.4012,                0.62736,                 1.8944,               0.007228,               0.007228,               0.007228
                     17,                 1.0343,                0.98636,                 1.3632,                0.92188,                 0.8903,                0.94374,                0.75055,                 1.3774,                0.61515,                 1.8888,                0.00703,                0.00703,                0.00703
                     18,                 1.0288,                0.98272,                 1.3584,                  0.925,                 0.8863,                0.94379,                0.74637,                 1.3858,                0.61154,                  1.853,               0.006832,               0.006832,               0.006832
                     19,                 1.0282,                0.97914,                 1.3591,                 0.9268,                0.89304,                0.94581,                0.75256,                 1.3783,                0.60966,                 1.8661,               0.006634,               0.006634,               0.006634
                     20,                 1.0237,                0.96366,                 1.3506,                0.93151,                0.89184,                0.94874,                0.75814,                 1.3687,                0.59148,                 1.8524,               0.006436,               0.006436,               0.006436
                     21,                 1.0202,                0.96057,                  1.347,                0.92926,                 0.8946,                0.94702,                0.75613,                 1.3682,                0.58685,                 1.8588,               0.006238,               0.006238,               0.006238
                     22,                  1.016,                0.95022,                 1.3428,                0.93315,                0.89585,                0.94965,                 0.7591,                 1.3609,                0.57701,                  1.846,                0.00604,                0.00604,                0.00604
                     23,                 1.0135,                0.94284,                 1.3395,                0.93327,                0.89865,                0.94952,                0.75765,                 1.3653,                0.58023,                 1.8611,               0.005842,               0.005842,               0.005842
                     24,                 1.0133,                0.93893,                 1.3377,                0.92873,                0.90436,                0.95079,                0.75981,                 1.3649,                0.57389,                 1.8587,               0.005644,               0.005644,               0.005644
                     25,                 1.0102,                0.93693,                 1.3368,                0.92891,                0.90184,                0.95075,                 0.7592,                 1.3681,                0.57421,                  1.852,               0.005446,               0.005446,               0.005446
                     26,                 1.0041,                0.92646,                 1.3314,                 0.9302,                0.90293,                0.95072,                0.75876,                 1.3697,                0.57296,                 1.8396,               0.005248,               0.005248,               0.005248
                     27,                 1.0038,                0.92239,                 1.3322,                 0.9326,                0.90328,                0.95122,                0.76115,                 1.3639,                0.56514,                  1.842,                0.00505,                0.00505,                0.00505
                     28,                0.99972,                0.91358,                 1.3268,                0.93697,                0.90316,                 0.9525,                0.76403,                 1.3578,                0.56049,                 1.8428,               0.004852,               0.004852,               0.004852
                     29,                0.99744,                 0.9086,                 1.3253,                0.93661,                0.90452,                0.95263,                0.76492,                 1.3538,                0.55891,                 1.8482,               0.004654,               0.004654,               0.004654
                     30,                0.99559,                0.90911,                 1.3232,                0.93678,                0.90406,                0.95264,                0.76562,                 1.3504,                0.55663,                 1.8482,               0.004456,               0.004456,               0.004456
                     31,                0.99331,                0.90074,                 1.3226,                0.93737,                0.90496,                0.95281,                0.76533,                 1.3504,                0.55591,                 1.8513,               0.004258,               0.004258,               0.004258
                     32,                0.99325,                0.89898,                 1.3185,                0.93517,                0.90613,                0.95296,                0.76511,                 1.3525,                0.55523,                 1.8526,                0.00406,                0.00406,                0.00406
                     33,                0.99026,                0.89327,                 1.3169,                0.93716,                0.90558,                0.95323,                0.76514,                 1.3521,                0.55376,                 1.8498,               0.003862,               0.003862,               0.003862
                     34,                0.98514,                0.88674,                 1.3134,                0.93891,                0.90469,                0.95367,                0.76604,                 1.3504,                0.55123,                  1.847,               0.003664,               0.003664,               0.003664
                     35,                0.98519,                0.88567,                  1.311,                0.93866,                0.90527,                0.95388,                0.76618,                 1.3505,                0.55004,                  1.846,               0.003466,               0.003466,               0.003466
                     36,                0.98121,                 0.8804,                 1.3115,                0.93634,                 0.9081,                0.95396,                0.76608,                 1.3514,                0.54928,                 1.8474,               0.003268,               0.003268,               0.003268
                     37,                 0.9782,                0.87203,                 1.3071,                0.93771,                0.90715,                0.95422,                0.76652,                 1.3512,                0.54733,                 1.8481,                0.00307,                0.00307,                0.00307
                     38,                0.97494,                0.87229,                 1.3046,                0.93716,                0.90873,                0.95441,                0.76678,                 1.3508,                0.54632,                 1.8482,               0.002872,               0.002872,               0.002872
                     39,                0.97293,                0.86148,                 1.3021,                0.93798,                0.90878,                0.95458,                0.76722,                   1.35,                0.54531,                  1.848,               0.002674,               0.002674,               0.002674
                     40,                0.97295,                0.86585,                 1.3034,                0.93803,                0.90883,                0.95491,                0.76748,                 1.3495,                0.54391,                 1.8486,               0.002476,               0.002476,               0.002476
                     41,                0.90255,                0.44492,                   1.28,                0.93732,                 0.9092,                0.95477,                0.76741,                 1.3492,                0.54331,                 1.8445,               0.002278,               0.002278,               0.002278
                     42,                0.89431,                0.43299,                 1.2713,                0.93696,                0.90994,                0.95487,                 0.7674,                 1.3482,                0.54265,                 1.8386,                0.00208,                0.00208,                0.00208
                     43,                0.88976,                0.42758,                 1.2652,                0.93719,                0.91068,                0.95514,                0.76772,                 1.3466,                0.54185,                 1.8296,               0.001882,               0.001882,               0.001882
                     44,                0.88546,                0.41729,                 1.2642,                 0.9367,                0.91151,                0.95516,                0.76788,                 1.3451,                0.54118,                 1.8217,               0.001684,               0.001684,               0.001684
                     45,                0.88187,                0.41256,                  1.263,                 0.9361,                0.91233,                0.95514,                0.76823,                 1.3438,                0.54001,                 1.8142,               0.001486,               0.001486,               0.001486
                     46,                0.87915,                0.40616,                 1.2579,                0.93481,                0.91413,                0.95523,                0.76849,                 1.3423,                0.53896,                 1.8069,               0.001288,               0.001288,               0.001288
                     47,                 0.8733,                0.39826,                 1.2525,                 0.9358,                0.91411,                0.95556,                0.76905,                 1.3411,                0.53782,                 1.7981,                0.00109,                0.00109,                0.00109
                     48,                0.86979,                0.39226,                   1.25,                0.93737,                0.91347,                0.95553,                0.76912,                 1.3404,                0.53668,                  1.791,               0.000892,               0.000892,               0.000892
                     49,                0.86712,                0.38695,                 1.2489,                0.93727,                0.91441,                0.95568,                0.76953,                 1.3394,                0.53565,                 1.7848,               0.000694,               0.000694,               0.000694
                     50,                0.86039,                0.38095,                 1.2415,                0.93701,                0.91525,                0.95584,                0.77006,                 1.3384,                0.53455,                 1.7792,               0.000496,               0.000496,               0.000496
