                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  3.052,                 5.7296,                 3.6309,                      0,                      0,                      0,                      0,                 3.3189,                 5.3702,                 3.6942,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 3.0758,                  5.653,                 3.7718,                      0,                      0,                      0,                      0,                 3.3255,                 5.3728,                 3.6972,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.7016,                 5.4427,                 3.1673,                      0,                      0,                      0,                      0,                  3.349,                 5.3716,                 3.7175,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.2173,                 5.5042,                 3.0275,                      0,                      0,                      0,                      0,                 3.3519,                 5.3758,                 3.7158,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 2.1786,                 5.3166,                 2.9346,                      0,                      0,                      0,                      0,                 3.3495,                 5.3805,                 3.7099,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.7908,                 5.4696,                 3.3808,                      0,                      0,                      0,                      0,                 3.3573,                 5.3757,                 3.7117,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                  2.705,                 5.3419,                 3.4041,                      0,                      0,                      0,                      0,                 3.3763,                  5.362,                   3.75,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 2.0877,                  5.377,                 2.7853,                      0,                      0,                      0,                      0,                 3.3749,                 5.3637,                 3.7241,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.1322,                 5.3369,                 2.8852,                      0,                      0,                      0,                      0,                  3.371,                 5.3624,                 3.7455,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.2599,                 5.2795,                 2.6322,                      0,                      0,                      0,                      0,                 3.3738,                 5.3626,                 3.7413,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.4158,                 5.4327,                 3.0177,                      0,                      0,                      0,                      0,                 3.3774,                 5.3525,                 3.7412,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.4524,                 5.5031,                 3.0032,                      0,                      0,                      0,                      0,                 3.3698,                 5.3536,                 3.7287,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.1013,                 5.3238,                 2.8189,                      0,                      0,                      0,                      0,                 3.3797,                 5.3409,                   3.73,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 2.7928,                 5.5456,                 3.1801,                      0,                      0,                      0,                      0,                 3.3681,                 5.3415,                 3.7191,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.4268,                 5.7002,                 2.8691,                      0,                      0,                      0,                      0,                   3.34,                 5.3543,                 3.7208,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                  2.933,                 5.6134,                 3.2205,                      0,                      0,                      0,                      0,                 3.3244,                 5.3417,                 3.6724,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 2.8161,                 5.2741,                 3.4787,                      0,                      0,                      0,                      0,                  3.346,                   5.33,                 3.7172,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 2.7116,                 5.6427,                 3.1184,                      0,                      0,                      0,                      0,                 3.3252,                 5.3277,                 3.6975,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.6479,                 5.4974,                 3.0359,                      0,                      0,                      0,                      0,                 3.3306,                 5.3314,                 3.7013,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 2.7578,                  5.467,                 3.1711,                      0,                      0,                      0,                      0,                 3.3221,                 5.3256,                 3.6936,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 2.0251,                 5.2637,                 2.5781,                      0,                      0,                      0,                      0,                 3.3041,                 5.3286,                 3.6745,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 2.5619,                 5.4303,                 3.0358,                      0,                      0,                      0,                      0,                 3.3056,                 5.3343,                 3.6435,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 3.1736,                 5.4463,                 3.8558,                      0,                      0,                      0,                      0,                 3.3243,                 5.3377,                 3.6441,             2.9695e-05,             2.9695e-05,             2.9695e-05
